2,0,9.41719,6.36579,4,4
2,2,23.3061,23.3061,7,7.69393
2,5,40.0369,12.6338,4,4
2,1,47.5073,47.5073,10,12.4927
2,3,0,0,0,0
2,4,0,0,0,0
1,0,3.0514,3.0514,4,4
1,5,11.7458,11.7458,4,4
1,4,20.7635,20.7635,15,15.2365
1,2,42.3393,19.0332,7,7.66071
1,1,53.9697,6.46243,10,21.0303
1,3,75.7245,8.748,14,14.2755
3,0,10.4805,1.06327,4,4
3,3,17.0335,17.0335,14,14.9665
3,2,56.4562,14.1169,7,9.54382
3,4,72.2865,13.2157,15,17.7135
3,5,90.1457,8.06649,4,4
3,1,0,0,0,0
4,0,11.4927,1.01219,4,4
4,5,27.4031,15.6574,4,4
4,3,32.7692,15.7357,14,15.2308
4,1,80.873,26.9033,10,14.127
4,2,96.8554,13.4194,7,12.1446
4,4,0,0,0,0
6,0,36.8159,13.3858,4,4
6,4,59.0708,10.0534,15,15.9292
6,2,83.436,1.9575,7,15.564
6,5,101.514,1.38722,4,4
6,1,110.862,1.70661,10,14.1382
6,3,0,0,0,0
13,1,71.8141,7.29782,4,4
13,3,81.6339,5.90939,14,14.3661
13,5,107.845,6.33129,4,4
13,4,115.691,0.608641,15,16.3089
13,0,136.701,9.05403,4,4
13,2,0,0,0,0
13,6,0,0,0,0
7,3,41.0953,4.2794,4,4
7,4,49.0174,18.7967,15,16.9826
7,2,67.646,11.1898,7,8.35398
7,5,82.0792,3.28527,4,4
7,0,109.116,3.36586,4,4
7,1,0,0,0,0
7,6,0,0,0,0
5,0,23.4301,11.9374,4,4
5,4,30.2207,9.4572,15,17.7793
5,6,61.284,61.284,7,7
5,5,78.794,17.2658,4,4
5,1,87.3738,6.50083,10,22.6262
5,2,112.331,1.83741,7,16.6687
5,3,131.544,7.8671,14,14.456
12,0,64.5163,1.36134,4,4
12,4,80.303,8.01652,15,15.697
12,3,123.677,10.9551,14,14.3231
12,1,138.286,2.8623,10,16.7143
12,2,0,0,0,0
12,5,0,0,0,0
8,0,42.3458,1.25058,4,4
8,3,62.9367,30.1675,14,15.0633
8,4,86.0307,3.6493,15,15.9693
8,1,109.155,5.74001,10,15.8448
8,5,158.593,1.53197,4,4
8,2,0,0,0,0
15,0,90.4369,14.2484,4,4
15,1,103.415,12.6282,10,21.5848
15,2,131.378,12.127,7,7.62151
15,4,154.601,4.47208,15,16.3992
15,3,0,0,0,0
15,5,0,0,0,0
10,0,58.6692,4.31906,4,4
10,4,82.3814,2.0784,15,16.6186
10,5,100.127,9.98117,4,4
10,3,112.29,30.6561,14,15.71
10,2,134.147,2.76823,7,14.8533
10,1,153.058,4.15047,10,16.9418
10,6,0,0,0,0
14,0,76.1885,4.37438,4,4
14,1,90.787,3.41324,10,19.213
14,5,134.851,1.68469,4,4
14,3,149.82,3.45103,14,14.1797
14,2,177.863,43.7159,7,8.13736
14,4,0,0,0,0
14,6,0,0,0,0
